"R","UR95","V","UV95"
2.17,0.16,2.19,0.56
72.44,0.41,72.59,0.63
-46.23,0.09,-46.25,0.44
-144.94,0.1,-145.21,0.9
-223.1,0.06,-223.74,1.13
35.53,0.1,35.48,0.23
-91.35,0.07,-91.58,0.69
-166.35,0.1,-167,0.94
30.9,0.02,31,0.28
45.99,0.08,46,0.28
-3.6,0.1,-3.48,0.63
40.45,0.11,40.59,0.86
-28.43,0.07,-28.59,1.73
55.81,0.1,55.89,0.66
102.56,0.03,102.44,0.16
-107.73,0.08,-108.02,0.65
32.15,0.36,32.76,0.69
-26.1,0.02,-26.11,0.31
26.03,0.06,26.21,0.31
0.42,0.13,0.82,0.76
-90.44,0.05,-90.41,0.8
-146.49,0.18,-146.42,1.18
-68.97,0.21,-68.96,1.21
-56.28,0.05,-56.38,0.36
21.17,0.1,21.29,0.38
56.93,0.36,57.13,0.37
24.78,0.5,25.45,0.79
16.94,0.22,16.94,0.75
4.76,0.31,4.9,0.78
-45.16,0.09,-44.99,0.83
16.04,0.33,16.12,0.92
-16.09,0.11,-16.14,1.42
-17.86,0.11,-18.02,1.43
-17.81,0.01,-17.76,0.28
-56.08,0.1,-55.77,1.23
-48.02,0.04,-47.97,0.42
-30.53,0.12,-30.27,0.74
-94.06,0.22,-93.76,0.77
-5.07,0.06,-4.81,0.48
138.48,0.65,138.16,0.7
-94.04,0,-94.57,0.77
1.36,0.15,1.36,0.7
-161.19,0.12,-161.02,1.16
-320.85,0.23,-322.04,1.82
25.26,0.1,25.38,0.46
-119.05,0.38,-119.18,0.97
54.56,0.03,54.65,0.24
-83.8,0.18,-83.9,0.76
-74.01,0.22,-73.96,0.75
-11.58,0.03,-11.58,0.57
22.18,0.19,22.4,0.49
64.78,0.22,65.44,0.84
-50.99,0.15,-50.88,0.78
-5.31,0.41,-5.19,0.76
-34.04,0.11,-34.07,0.53
17.7,0.06,17.8,0.54
42.38,0.12,42.35,0.54
12.5,0.03,12.51,0.34
-120.16,0.13,-120.67,0.83
-107.04,0.19,-107.55,0.79
-39.57,0.06,-39.6,0.6
-29.71,0.12,-29.64,0.62
-12.57,0.09,-12.08,0.67
-103.42,0.09,-102.95,1
-86.03,0.2,-85.85,1.02
-65.04,0.09,-65.2,0.59
-101.12,0.24,-101.01,0.85
-56.68,0.14,-55.9,1.03
-20.09,0.03,-20.14,0.46
-43.98,0.1,-43.91,0.67
-56.18,0.05,-56.06,0.65
-4.19,0.1,-3.73,0.71
-11.96,0.13,-11.72,0.7
74.12,0.1,74.49,0.65
89.35,0.15,90.11,0.62
118.56,0.11,118.53,0.75
31.14,0.19,31.72,0.78
38.19,0.29,38.47,0.88
31.86,0.33,32.11,0.69
44.69,0.16,45.16,0.69
110.25,0.36,110.2,1.1
94.84,0.41,95.2,0.83
94.19,0.33,94.32,0.9
45.36,0.06,45.31,0.5
67.77,0.11,68.14,0.72
44.37,0.05,44.4,0.51
-15.7,0.29,-15.4,0.78
-15.34,0.26,-14.95,0.79
12.87,0.1,13.31,0.7
4.75,0.05,4.77,0.59
-51.8,0.08,-51.85,0.85
-98.73,0.14,-98.09,1.23
-25.11,0.04,-25.16,0.69
-65.36,0.09,-65.37,0.87
-51.94,0.14,-52.17,0.89
-6.39,0.18,-6.02,0.96
-22.18,0.29,-20.79,1.17
109.94,0.14,110.35,0.61
136.3,0.48,136.82,1.29
76.95,0.16,77.34,0.7
105.57,0.29,105.89,0.89
102.31,0.19,103.2,0.89
69.17,0.14,69.51,0.66
92.71,0.2,93.07,0.87
128.9,0.29,129.53,1.4
38.82,0.11,38.85,0.72
26.51,0.08,26.82,0.74
35.01,0.12,35.11,0.75
38.38,0.17,38.67,0.82
6.65,0.09,6.63,0.9
-4.07,0.09,-4.03,0.82
-56.99,0.19,-57.15,1.08
-32.17,0.07,-32.19,0.91
-30.05,0.06,-29.9,0.91
-59.85,0.2,-60.4,1.11
-28.87,0.13,-29.03,1.14
107.22,0.38,107.75,0.89
32.06,0.15,32.1,0.96
18.07,0.16,18.41,0.98
-18.26,0.1,-18.36,1.07
-40.01,0.09,-40.23,1.14
-34.95,0.07,-34.74,1.13
109.75,0.21,110.17,1.04
-27.43,0.21,-26.86,1.42
88.46,0.21,89.41,1.09
81.45,0.43,81.69,1.09
105.45,0.43,106.4,1.17
19.87,0.05,20.19,1.24
92.38,0.29,93.04,1.39
96.8,0.43,96.83,1.26
51.58,0.26,51.89,1.14
133.01,0.31,134.11,1.76
-22.31,0.15,-21.71,1.49
-1.06,0.08,-1.07,1.24
-29.38,0.07,-29.34,1.31
-39.89,0.08,-39.65,1.35
-8.86,0.22,-8.32,1.71
-70.31,0.05,-70.08,2.08
43.92,0.23,44.75,1.37
57.84,0.24,57.62,1.33
11.98,0.08,12.23,1.46
-44.8,0.11,-44.48,1.57
35.45,0.13,36.17,1.62
-49.73,0.13,-49.39,1.79
35.25,0.14,36.19,2.16
54.22,0.24,55.8,3.07
-20.86,0.05,-20.84,0.49
-21.08,0.22,-20.69,0.98
5.87,0.06,6.29,0.65
7.55,0.1,8.41,1.58
25.45,0.26,26.45,1.55
25.57,0.03,25.55,0.5
-18.58,0.06,-18.5,1.18
-10.42,0.26,-10.59,1.3
-18.91,0.02,-18.84,1.18
64.72,0.45,64.87,0.99
-32.08,0.04,-32.32,1.75
-1.73,0.13,-1.8,1.64
-12.64,0.31,-12.75,2.14
69.7,0.12,68.08,1.27
109.39,0.62,109.07,1.02
71.81,0.15,71.66,0.59
47.8,0.1,47.83,0.62
18.19,0.23,18.81,1.21
-57.8,0.01,-57.71,0.29
-32.38,0.02,-32.03,0.58
13.93,0.31,13.84,0.58
-21.71,0.15,-21.45,1.04
-10.66,0.55,-10.55,1.5
-10.89,0.01,-10.58,0.35
14.34,0.36,14.89,0.64
-10.4,0.11,-10.08,0.64
23.32,0.1,23.6,0.68
83.63,0.41,83.52,0.9
19.73,0.02,19.1,1.18
20.6,0.04,20.4,2.02
141.8,0.5,141.87,1.78
97.42,0.43,97.68,1.68
21.01,0.31,20.72,1.9
2.6,0.03,1.61,3.34
180.98,0.41,181.56,1.39
64.56,0.31,65.96,0.72
33.88,0.01,35.41,1.09
94.02,0.93,93.82,1.18
