"","expt.","mu","sigma"
"1",545.5,555.3,7.5
"2",168.2,163.7,10.1
"3",194.3,191.1,7.6
"4",376.5,372.2,6.2
"5",391.5,385.4,7.9
"6",126.7,129.5,13.2
"7",209.6,205,8.7
"8",434.7,425.4,7.4
"9",443.5,440.4,8.5
"10",204.3,201.8,9.4
"11",475.1,467.4,8.2
"12",488.8,480,8.6
"13",269,265.5,5.7
"14",292.3,293.8,6
"15",147.7,144.1,9.4
"16",159.6,153.7,7.3
"17",193.8,186.3,5.5
"18",218.7,220,3.4
"19",365,351.8,7.3
"20",373,357.8,7.5
"21",83.4,79,7.3
"22",167.9,164.6,3.6
"23",297.2,292.6,7.7
"24",37.6,34.6,23.8
"25",101.9,99.5,11.5
"26",126,122.3,2.7
"27",154.5,148.8,8.1
"28",178.3,172.3,9.3
"29",179.6,173.4,8.8
"30",189.2,183.6,7.9
"31",192.4,184.2,8.1
"32",377.3,371.4,6.7
"33",379.5,371.6,6.6
"34",389.3,377.6,8
"35",393.6,380.5,7.9
